# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
OGLE-2015-BLG-1670L b	Confirmed	0.0563	0.0277	0.0302										3.2	0.8	1.8								2018	2018-10-30																																					Published in a refereed paper	Microlensing					OGLE-2015-BLG-1670L	268.158791679	-28.5519166792						6700.0	130.0	100.0				0.55	0.28	0.28													
OGLE-2015-BLG-1771L b	Confirmed	0.433	0.25	0.674										0.85	0.16	0.16								2019	2019-11-07																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2015-BLG-1771L	268.800000004	-28.862777805						7070.0	1090.0	1000.0				0.077	0.044	0.12													
OGLE-2016-BLG-0263L b	Confirmed	4.1	2.5	6.5										6.5	1.9	1.3								2017	2020-03-30																																					Published in a refereed paper	Microlensing					OGLE-2016-BLG-0263L	269.8954166783	-31.818611129						6500.0	1900.0	1300.0				0.13	0.08	0.21													
OGLE-2016-BLG-0613L (AB) b	Confirmed	4.18	2.43	3.19										6.4	2.63	2.51								2017	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2016-BLG-0613L (AB)	269.262500001	-28.116111126						3410.0	142.0	134.0				1.0	0.5	0.7													
OGLE-2016-BLG-0693L b	Confirmed	49.0	18.0	20.0										5.0										2017	2017-08-19																																					Published in a refereed paper	Microlensing					OGLE-2016-BLG-0693L	267.480375018	-23.0399444504						5000.0	600.0	600.0										K									
OGLE-2016-BLG-1067L b	Confirmed	0.43	0.17	0.21										1.7	0.39	0.38								2018	2018-02-21																																					Published in a refereed paper	Microlensing			MOA-2016-BLG-339 b		 OGLE-2016-BLG-1067L	273.204500016	-27.012638899						3730.0	670.0	660.0				0.3	0.12	0.15				M									MOA-2016-BLG-339
OGLE-2016-BLG-1190L b	Confirmed	13.38	0.82	0.88							1223.6	300.0	1896.0	2.17	0.38	1.87	0.42	0.23	0.13	41.2	10.3	12.0		2017	2017-10-30				2456989.8	434.0	423.0																															Published in a refereed paper	Microlensing	Microlensing				OGLE-2016-BLG-1190L	269.720833351	-27.613611134						6770.0	90.0	90.0				0.88	0.06	0.06													
OGLE-2016-BLG-1195L b	Confirmed	0.0045	0.001	0.0014										1.16	0.16	0.13								2017	2017-05-11																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2016-BLG-1195L	268.850000008	-30.207222232						3910.0	460.0	420.0				0.078	0.012	0.016													
OGLE-2016-BLG-1227 b	Confirmed	0.79	0.39	1.3										3.4	1.0	2.1								2019	2019-11-28																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2016-BLG-1227	265.595833341	-33.759722245						1210.0	630.0	960.0				0.1	0.05	0.17													
OGLE-2016-BLG-1266L b	Confirmed	11.9	0.8	0.8										0.42	0.03	0.03								2018	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2016-BLG-1266L	267.854166675	-29.742222244						3050.0						0.0156															
OGLE-2016-BLG-1469L b	Confirmed	13.6	3.0	3.0										0.33	0.04	0.04								2017	2018-05-18																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2016-BLG-1469L	271.945750016	-26.2898888998						4500.0						0.048	0.007	0.007													
OGLE-2016-BLG-1540	Confirmed																							2018	2020-03-30																																					Published in a refereed paper	Microlensing						270.195833349	-28.3597777926																											
OGLE-2016-BLG-1928	Confirmed	0.0009	0.0	0.0053																				2020	2020-09-30																																					Submitted to a professional journal	Microlensing						270.38020834375	-29.1295000126																											
OGLE-2016-BLG-596L b	Confirmed	12.2																						2016	2016-07-20																																					Published in a refereed paper	Microlensing					OGLE-2016-BLG-0596L	267.803375004	-30.8498333632																											
OGLE-2017-BLG-0114 b	Confirmed																							2021	2021-04-07																																					Published in a refereed paper	Microlensing					OGLE-2017-BLG-0114	260.491666686	-29.623611129																											
OGLE-2017-BLG-0173L b	Confirmed	9.08	5.7	10.85										3.75	1.67	1.67								2017	2018-10-29																																					Published in a refereed paper	Microlensing					OGLE-2017-BLG-0173L	267.970833351	-29.271388898						4700.0	1780.0	1460.0				0.417	0.24	0.4													
OGLE-2017-BLG-0373L b	Confirmed																							2018	2020-03-30																																					Published in a refereed paper	Microlensing					OGLE-2017-BLG-0373L	269.32941667302	-31.9517222426						5900.0	1950.0	1300.0				0.25	0.15	0.3													
OGLE-2017-BLG-0406 b	Confirmed	0.41	0.05	0.05										3.5	0.3	0.3								2020	2020-04-21																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-0406	269.0	-29.863055583						5200.0	500.0	500.0				0.56	0.07	0.07													
OGLE-2017-BLG-0482 b	Confirmed	9.0	4.5	9.0										1.8	0.7	0.6								2018	2020-03-30																																					Published in a refereed paper	Microlensing					OGLE-2017-BLG-0482	269.04887500391	-30.5283611308						5800.0	2100.0	1800.0				0.2	0.1	0.2													
OGLE-2017-BLG-0560	Confirmed	1.9																						2018	2018-11-21																																					Published in a refereed paper	Microlensing						267.963875017	-30.4587222382																											
OGLE-2017-BLG-0604 b	Confirmed	0.51	0.23	0.23										4.06	1.34	1.91								2020	2020-08-24																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2017-BLG-0604	267.891666678	-30.946666696						3950.0	1310.0	1870.0				0.7	0.28	0.28													
OGLE-2017-BLG-0896	Confirmed	19.0	2.0	2.0																				2019	2020-03-30																																					Published in a refereed paper	Microlensing						264.879083344	-27.2975277948						4000.0	200.0	200.0																			
